Distribution,Ordenation,Array Length,Time
Random,Quick Sort,100,0.0
Random,Quick Sort 2,100,0.015625
Random,Quick Sort 3,100,0.0
Random,Counting Sort,100,0.0
Random,Selection Sort,150,0.0
Random,Insertion Sort,150,0.0
Random,Shell Sort,150,0.015625
Random,Quick Sort,150,0.015625
Random,Quick Sort 2,150,0.0
Random,Quick Sort 3,150,0.0
Random,Counting Sort,150,0.0
Random,Selection Sort,200,0.109375
Random,Insertion Sort,200,0.015625
Random,Shell Sort,200,0.0
Random,Quick Sort,200,0.0
Random,Quick Sort 2,200,0.0
Random,Quick Sort 3,200,0.0
Random,Counting Sort,200,0.0
Random,Selection Sort,250,0.109375
Random,Insertion Sort,250,0.046875
Random,Shell Sort,250,0.015625
Random,Quick Sort,250,0.015625
Random,Quick Sort 2,250,0.0
Random,Quick Sort 3,250,0.015625
Random,Counting Sort,250,0.0
Random,Selection Sort,300,0.171875
Random,Insertion Sort,300,0.078125
Random,Shell Sort,300,0.0
Random,Quick Sort,300,0.0
Random,Quick Sort 2,300,0.0
Random,Quick Sort 3,300,0.0
Random,Counting Sort,300,0.0
Random,Selection Sort,350,0.328125
Random,Insertion Sort,350,0.15625
Random,Shell Sort,350,0.015625
Random,Quick Sort,350,0.0
Random,Quick Sort 2,350,0.0
Random,Quick Sort 3,350,0.0
Random,Counting Sort,350,0.0
Random,Selection Sort,400,0.265625
Random,Insertion Sort,400,0.109375
Random,Shell Sort,400,0.015625
Random,Quick Sort,400,0.0
Random,Quick Sort 2,400,0.015625
Random,Quick Sort 3,400,0.0
Random,Counting Sort,400,0.0
Random,Selection Sort,450,0.734375
Random,Insertion Sort,450,0.359375
Random,Shell Sort,450,0.03125
Random,Quick Sort,450,0.015625
Random,Quick Sort 2,450,0.0
Random,Quick Sort 3,450,0.015625
Random,Counting Sort,450,0.0
Random,Selection Sort,500,0.84375
Random,Insertion Sort,500,0.390625
Random,Shell Sort,500,0.03125
Random,Quick Sort,500,0.03125
Random,Quick Sort 2,500,0.03125
Random,Quick Sort 3,500,0.015625
Random,Counting Sort,500,0.015625
Random,Selection Sort,550,1.09375
Random,Insertion Sort,550,0.453125
