Distribution,Ordenation,Array Length,Time,Mean Time
Random,Quick Sort 2,300,0.9375,0.515625
Random,Quick Sort 3,300,0.0,0.65625
Random,Counting Sort,300,0.0,0.140625
Random,Selection Sort,350,3.75,15.46875
Random,Insertion Sort,350,3.75,7.03125
Random,Shell Sort,350,0.0,0.609375
Random,Quick Sort,350,0.0,1.265625
Random,Quick Sort 2,350,0.0,0.46875
Random,Quick Sort 3,350,0.0,0.890625
Random,Counting Sort,350,0.0,0.1875
Random,Selection Sort,400,7.5,22.21875
Random,Insertion Sort,400,2.8125,10.359375
Random,Shell Sort,400,0.9375,1.21875
Random,Quick Sort,400,0.0,0.65625
Random,Quick Sort 2,400,0.9375,0.890625
Random,Quick Sort 3,400,0.0,0.890625
Random,Counting Sort,400,0.0,0.140625
Random,Selection Sort,450,10.3125,32.90625
Random,Insertion Sort,450,5.625,13.21875
Random,Shell Sort,450,0.0,0.75
Random,Quick Sort,450,0.9375,1.21875
Random,Quick Sort 2,450,0.0,0.984375
Random,Quick Sort 3,450,0.9375,1.03125
Random,Counting Sort,450,0.0,0.140625
Random,Selection Sort,500,12.1875,38.578125
Random,Insertion Sort,500,7.5,17.25
Random,Shell Sort,500,0.9375,1.078125
Random,Quick Sort,500,0.0,0.984375
Random,Quick Sort 2,500,0.9375,0.984375
Random,Quick Sort 3,500,0.9375,0.984375
Random,Counting Sort,500,0.0,0.421875
Random,Selection Sort,550,19.6875,50.0625
Random,Insertion Sort,550,5.625,21.703125
Random,Shell Sort,550,1.875,1.96875
Random,Quick Sort,550,0.0,1.59375
Random,Quick Sort 2,550,0.0,1.125
Random,Quick Sort 3,550,0.0,1.359375
Random,Counting Sort,550,0.9375,0.328125
Random,Selection Sort,600,45.0,58.21875
Random,Insertion Sort,600,16.875,24.84375
Random,Shell Sort,600,0.9375,1.21875
Random,Quick Sort,600,0.9375,1.734375
Random,Quick Sort 2,600,0.9375,1.546875
Random,Quick Sort 3,600,0.0,1.6875
Random,Counting Sort,600,0.0,0.234375
Random,Selection Sort,650,48.75,69.09375
Random,Insertion Sort,650,18.75,32.71875
Random,Shell Sort,650,0.9375,1.96875
Random,Quick Sort,650,0.9375,1.453125
Random,Quick Sort 2,650,0.9375,1.078125
Random,Quick Sort 3,650,0.0,1.734375
Random,Counting Sort,650,0.9375,0.46875
Random,Selection Sort,700,54.375,82.6875
